Player ID,First Name,Last Name,Position,Cost,Team,Total points,Goals scored,Assists,Clean sheets,Points per game rank,Value form,Value season,ICT Index,Expected goals,Expected assists,Expected goal involvements,Influence rank,Form rank,Player form,In dream team,News,Chance of playing next round,Points per game,ICT Index rank,Expected goals per 90,Expected assists per 90,Strength overall home,Strength overall away,team,team_code,PlayerID,Gameweek 8,Gameweek 9,Gameweek 10,Gameweek 11,Gameweek 12,Gameweek 13,Gameweek 14,Gameweek 15,Gameweek 16,Gameweek 17,Gameweek 18,Gameweek 19,Gameweek 20,Gameweek 21,Gameweek 22,Gameweek 23,Gameweek 24,Gameweek 25,Gameweek 26,Gameweek 27,Gameweek 28,Gameweek 29,Gameweek 30,Gameweek 31,Gameweek 32,Gameweek 33,Gameweek 34,Gameweek 35,Gameweek 36,Gameweek 37,Gameweek 38,Difficulty_score,Fixture Difficulty Index,full_name
31,Emiliano,Buendía Stati,MID,53,Aston Villa,3,0,0,0,382,0.1,0.6,1.0,0.09,0.01,0.10,414,290,0.7,False,,,1.0,402,0.62,0.07,1160,1220,2,7,31,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.044,Emiliano Buendía Stati
32,Matty,Cash,DEF,44,Aston Villa,9,0,0,1,112,0.5,2.0,4.1,0.03,0.02,0.05,328,146,2.0,False,,100.0,3.0,332,0.01,0.01,1160,1220,2,7,32,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.125,Matty Cash
33,Leander,Dendoncker,MID,45,Aston Villa,0,0,0,0,545,0.0,0.0,0.0,0.00,0.00,0.00,537,503,0.0,False,On loan to Anderlecht for the rest of the season,0.0,0.0,541,0.0,0.0,1160,1220,2,7,33,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.0,Leander Dendoncker
34,Moussa,Diaby,MID,65,Aston Villa,0,0,0,0,663,0.0,0.0,0.0,0.00,0.00,0.00,662,659,0.0,False,Permanent transfer to Al Ittihad,0.0,0.0,663,0.0,0.0,1160,1220,2,7,34,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.0,Moussa Diaby
35,Diego Carlos,Santos Silva,DEF,45,Aston Villa,9,0,0,1,115,0.7,2.0,4.9,0.00,0.03,0.03,251,93,3.0,False,,100.0,3.0,320,0.0,0.01,1160,1220,2,7,35,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.188,Diego Carlos Santos Silva
36,Lucas,Digne,DEF,46,Aston Villa,24,0,2,1,83,0.7,5.2,25.4,0.05,1.05,1.10,84,94,3.0,False,,,3.4,100,0.01,0.18,1160,1220,2,7,36,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.188,Lucas Digne
37,Lewis,Dobbin,MID,50,Aston Villa,0,0,0,0,639,0.0,0.0,0.0,0.00,0.00,0.00,635,624,0.0,False,Permanent transfer to West Bromwich Albion,0.0,0.0,638,0.0,0.0,1160,1220,2,7,37,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.0,Lewis Dobbin
38,Jhon,Durán,FWD,62,Aston Villa,27,4,0,0,60,0.4,4.4,27.9,2.07,0.17,2.24,69,142,2.3,False,,,3.9,85,1.01,0.08,1160,1220,2,7,38,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.144,Jhon Durán
39,Joe,Gauci,GK,40,Aston Villa,0,0,0,0,472,0.0,0.0,0.0,0.00,0.00,0.00,465,404,0.0,False,,,0.0,469,0.0,0.0,1160,1220,2,7,39,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.0,Joe Gauci
40,Kortney,Hause,DEF,40,Aston Villa,0,0,0,0,443,0.0,0.0,0.0,0.00,0.00,0.00,434,372,0.0,False,,,0.0,438,0.0,0.0,1160,1220,2,7,40,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.0,Kortney Hause
